device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
  e3 [1200/1875] loss 0.343 focal 0.245 off 0.0978 | batch median err 1.2px | 76.3 img/s | lr 7.33e-05
  e3 [1250/1875] loss 0.343 focal 0.245 off 0.0978 | batch median err 1.3px | 76.3 img/s | lr 7.37e-05
  e3 [1300/1875] loss 0.342 focal 0.244 off 0.0981 | batch median err 1.3px | 76.3 img/s | lr 7.41e-05
  e3 [1350/1875] loss 0.341 focal 0.243 off 0.0979 | batch median err 1.5px | 76.3 img/s | lr 7.45e-05
  e3 [1400/1875] loss 0.341 focal 0.243 off 0.0977 | batch median err 1.9px | 76.3 img/s | lr 7.48e-05
  e3 [1450/1875] loss 0.342 focal 0.244 off 0.0976 | batch median err 1.3px | 76.3 img/s | lr 7.52e-05
  e3 [1500/1875] loss 0.342 focal 0.244 off 0.0974 | batch median err 1.2px | 76.3 img/s | lr 7.55e-05
  e3 [1550/1875] loss 0.343 focal 0.245 off 0.0974 | batch median err 1.0px | 76.3 img/s | lr 7.58e-05
  e3 [1600/1875] loss 0.343 focal 0.245 off 0.0974 | batch median err 2.0px | 76.3 img/s | lr 7.62e-05
  e3 [1650/1875] loss 0.342 focal 0.245 off 0.0971 | batch median err 1.3px | 76.3 img/s | lr 7.65e-05
  e3 [1700/1875] loss 0.342 focal 0.245 off 0.0970 | batch median err 1.0px | 76.3 img/s | lr 7.68e-05
  e3 [1750/1875] loss 0.343 focal 0.246 off 0.0971 | batch median err 1.0px | 76.4 img/s | lr 7.70e-05
  e3 [1800/1875] loss 0.342 focal 0.245 off 0.0971 | batch median err 1.5px | 76.4 img/s | lr 7.73e-05
  e3 [1850/1875] loss 0.341 focal 0.244 off 0.0970 | batch median err 1.1px | 76.4 img/s | lr 7.76e-05
epoch 3: loss 0.3417 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 6.7 min
  e4 [50/1875] loss 0.354 focal 0.253 off 0.1006 | batch median err 1.7px | 71.8 img/s | lr 7.79e-05
  e4 [100/1875] loss 0.332 focal 0.238 off 0.0943 | batch median err 2.3px | 74.0 img/s | lr 7.82e-05
  e4 [150/1875] loss 0.330 focal 0.238 off 0.0924 | batch median err 1.0px | 74.8 img/s | lr 7.84e-05
  e4 [200/1875] loss 0.326 focal 0.233 off 0.0926 | batch median err 2.0px | 75.2 img/s | lr 7.86e-05
  e4 [250/1875] loss 0.329 focal 0.236 off 0.0928 | batch median err 1.4px | 75.5 img/s | lr 7.88e-05
  e4 [300/1875] loss 0.335 focal 0.242 off 0.0936 | batch median err 1.5px | 75.6 img/s | lr 7.89e-05
  e4 [350/1875] loss 0.336 focal 0.242 off 0.0943 | batch median err 1.4px | 75.8 img/s | lr 7.91e-05
  e4 [400/1875] loss 0.336 focal 0.241 off 0.0950 | batch median err 1.7px | 75.8 img/s | lr 7.92e-05
  e4 [450/1875] loss 0.338 focal 0.242 off 0.0962 | batch median err 1.2px | 75.9 img/s | lr 7.94e-05
  e4 [500/1875] loss 0.340 focal 0.243 off 0.0971 | batch median err 1.4px | 75.9 img/s | lr 7.95e-05
  e4 [550/1875] loss 0.337 focal 0.239 off 0.0971 | batch median err 1.7px | 76.0 img/s | lr 7.96e-05
  e4 [600/1875] loss 0.336 focal 0.239 off 0.0970 | batch median err 1.4px | 76.0 img/s | lr 7.97e-05
  e4 [650/1875] loss 0.335 focal 0.238 off 0.0975 | batch median err 1.4px | 76.0 img/s | lr 7.98e-05
