device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e4 [350/1250] loss 0.409 focal 0.301 off 0.1072 | batch median err 1.3px | 75.8 img/s | lr 9.94e-05
  e4 [400/1250] loss 0.408 focal 0.300 off 0.1075 | batch median err 1.3px | 75.9 img/s | lr 9.96e-05
  e4 [450/1250] loss 0.411 focal 0.302 off 0.1088 | batch median err 1.3px | 75.9 img/s | lr 9.98e-05
  e4 [500/1250] loss 0.412 focal 0.302 off 0.1098 | batch median err 1.3px | 76.0 img/s | lr 9.99e-05
  e4 [550/1250] loss 0.408 focal 0.298 off 0.1096 | batch median err 2.1px | 76.0 img/s | lr 1.00e-04
  e4 [600/1250] loss 0.407 focal 0.297 off 0.1094 | batch median err 1.3px | 76.1 img/s | lr 1.00e-04
  e4 [650/1250] loss 0.406 focal 0.296 off 0.1098 | batch median err 1.6px | 76.1 img/s | lr 1.00e-04
  e4 [700/1250] loss 0.406 focal 0.296 off 0.1101 | batch median err 1.3px | 76.1 img/s | lr 1.00e-04
  e4 [750/1250] loss 0.407 focal 0.297 off 0.1097 | batch median err 1.1px | 76.1 img/s | lr 1.00e-04
  e4 [800/1250] loss 0.408 focal 0.298 off 0.1099 | batch median err 1.3px | 76.2 img/s | lr 1.00e-04
  e4 [850/1250] loss 0.411 focal 0.301 off 0.1096 | batch median err 1.2px | 76.2 img/s | lr 1.00e-04
  e4 [900/1250] loss 0.410 focal 0.300 off 0.1097 | batch median err 1.4px | 76.2 img/s | lr 1.00e-04
  e4 [950/1250] loss 0.410 focal 0.301 off 0.1093 | batch median err 1.3px | 76.2 img/s | lr 1.00e-04
  e4 [1000/1250] loss 0.411 focal 0.302 off 0.1096 | batch median err 1.8px | 76.2 img/s | lr 1.00e-04
  e4 [1050/1250] loss 0.410 focal 0.301 off 0.1092 | batch median err 1.4px | 76.2 img/s | lr 1.00e-04
  e4 [1100/1250] loss 0.411 focal 0.302 off 0.1091 | batch median err 1.4px | 76.2 img/s | lr 9.99e-05
  e4 [1150/1250] loss 0.412 focal 0.303 off 0.1089 | batch median err 1.4px | 76.2 img/s | lr 9.99e-05
  e4 [1200/1250] loss 0.412 focal 0.302 off 0.1092 | batch median err 1.2px | 76.2 img/s | lr 9.99e-05
  e4 [1250/1250] loss 0.411 focal 0.301 off 0.1091 | batch median err 1.7px | 76.3 img/s | lr 9.99e-05
epoch 4: loss 0.4106 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e5 [50/1250] loss 0.428 focal 0.319 off 0.1092 | batch median err 0.9px | 72.0 img/s | lr 9.99e-05
  e5 [100/1250] loss 0.404 focal 0.297 off 0.1077 | batch median err 2.0px | 74.2 img/s | lr 9.99e-05
  e5 [150/1250] loss 0.405 focal 0.297 off 0.1085 | batch median err 13.4px | 74.9 img/s | lr 9.99e-05
  e5 [200/1250] loss 0.400 focal 0.292 off 0.1080 | batch median err 1.2px | 75.3 img/s | lr 9.98e-05
  e5 [250/1250] loss 0.400 focal 0.292 off 0.1082 | batch median err 1.5px | 75.5 img/s | lr 9.98e-05
  e5 [300/1250] loss 0.402 focal 0.295 off 0.1074 | batch median err 1.2px | 75.7 img/s | lr 9.98e-05
